id,질문,정답,top1 문서
834,여름 휴가를 대비해 미국 농무부가 권장하는 식품 안전 팁은 무엇인가?,"미국 농무부는 여름 휴가를 대비해 위험 온도(40F~140F)에서의 식품 보관을 지양하고, 도로에서의 식품 안전을 위해 쿨러를 준비하며, 캠핑이나 백패킹 시 실온 보관 제품을 준비하고, 손을 씻을 것을 권장했다.","미국 농무부, 여름 휴가 맞이 식품 안전 팁 게재 미국 농무부(USDA)는 여름이 다가옴에 따라, 여름 휴가를 계획하는 자국민들을 대상으로 식품 안전 팁을 게재했음.  USDA 식품안전부 차관 Emilio Esteban 박사는 ""여름은 더 따뜻하고 습하기 때문에 박테리아가 더 빨리 생성되므로, 상하기 쉬운 식품은 안전할 수 있도록 차갑게 포장하고 식품을 준비하는 동안 손을 깨끗이 씻으라""고 조언했음.  여름 휴가를 대비한 안전 팁은 다음과 같음.- 위험 온도(40F~140F)에서의 식품 보관 지양하기- 도로에서의 식품 안전을 위해 쿨러 준비하기- 캠핑, 백패킹 시 실온 보관 제품 준비하기- 손 씻기"
835,Florida Gold Foods LLC가 위반한 주요 규정은 무엇인가요?,"현행우수제조관리기준(cGMP) 위반, 위해요소 분석 위반, 위해 기반 예방 통제 관련 위반입니다.","미국 식품의약품청, 연방 식품안전규정 위반으로 미국 내 업체 1곳에 경고장 발부 미국 식품의약품청(FDA)은 연방 식품안전규정 위반과 관련한 경고장을 다음과 같이 발부했음. 경고장 수신 업체는 15일 이내에 경고장에 회신을 해야 하며, 업체의 시정 조치가 적절하지 않을 경우 제품 압류와 영업정지 같은 법적 조치가 이루어질 수 있음. 1. Florida Gold Foods LLC (Kissimmee, FL)- 경고장 발부일: 2022.11.22.- 실사일: 2022.05.11-31.- 주요 위반내용: 1) 현행우수제조관리기준(cGMP) 위반, 2) 위해요소 분석 위반, 3) 위해 기반 예방 통제 관련 위반- 경고장 원문: https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/florida-gold-foods-llc-637153-11222022"
836,캐나다에서 영아용 조제식을 판매하려면 어떤 절차를 따라야 하나요?,캐나다에서 영아용 조제식을 판매하려면 캐나다 연방보건부에 시판 전 제출물을 보내야 합니다.,"캐나다 연방보건부, 시판 전 필수 제출에 대한 사전 제출 상담 지침 게재 캐나다 연방보건부는 ▲시판 전 제출물(pre-market submission)에 대해 문의하는 방법과 ▲제출 전에 상담을 요청하고 준비하는 방법을 동 홈페이지에 게재함. 캐나다에서 식품 첨가물, 신식품(novel food), 영아용 조제식, 보충 원료 또는 보충 식품을 판매하려면 캐나다 연방보건부에 시판 전 제출물을 보내야 함. 해당 웹페이지의 목차는 다음과 같음. - 제출 전 상담 목적- 자주 상담이 요청되는 시판 전 제출 유형- 제출 전 상담 요청- 제출 전 상담 패키지(package)에 필요한 정보- 제출 전 상담의 절차- 새로운 결정이 필요한 제품에 대한 제출 전 상담"
837,The Cocktail Geeks Ltd가 회수하는 칵테일 제품의 이름은 무엇인가요?,"My Precious, Order 66, Sorting Potion, Hellfire, Dracarys, Friendly Neighbourhood 칵테일 캔","[회수]영국 The Cocktail Geeks Ltd, 식품안전 관리 부적합으로 칵테일 회수 - 일자: 2023.11.23- 제품명: My Precious, Order 66, Sorting Potion, Hellfire, Dracarys, Friendly Neighbourhood 칵테일 캔 (팩사이즈: 150ml, best before: 날짜가 손으로 쓰여진 제품 전부)- 회수사: The Cocktail Geeks Ltd - 회수사유: 적절한 식품안전 관리 없이 생산되었으며 섭취하기에 안전하지 않을 수 있음- 제품사진: -- 기타 링크: https://www.foodstandards.gov.scot/downloads/FSS-PRIN-034-2023_-_The_Cocktail_Geeks_Ltd_recalls_various_canned_cocktails_because_they_have_been_produced_without_adequate_food_safety_controls.pdf%20"
838,노바스코샤 주의 굴 양식이 중단된 이유는 무엇인가?,노바스코샤 주의 동부와 중부 지역에 내린 폭우로 인해 유거수가 바다로 흘러 들어가 물이 오염되었기 때문입니다.,"캐나다 해양수산부, 폭우로 노바스코샤주의 굴 양식 일시 중단 명령내려 노바스코샤 주의 동부와 중부 지역에 하루도 안돼 한 달치의 비가 쏟아진 최악의 폭우가 내림. 노바스코샤 주의 몇몇 지역에서는 금요일부터 토요일 사이에 250mm의 비가 내림.  이 폭우는 진흙, 하수, 다른 잔해들을 운반하는 엄청난 양의 유거수(runoff)가 수계(river system)에서 바다로 흘러 들어가고 있음을 의미함.  물이 오염된 경우, 여과 섭식 동물(filter feeder)인 굴, 홍합을 섭취하기에 안전하지 않음.  7월 24일, 월요일, 해양수산부(Department of Fisheries and Oceans)는, 브라스도르 호수(the Bras d'Or Lakes)와 노바스코샤의 대서양 해안에 섬과 해안가로부터 3 km 떨어진 모든 해역에서, 조개 채취 중단 명령을 내림. 이는 굴, 홍합, 가리비, 달팽이, 쇠고둥(whelk) 등을 포함함. 이 중단 조치는 셸번-야머스 카운티 선(the Shelburn-Yarmouth County Line)으로부터 케이프 노스(Cape North)의 한 지점까지의 지역에 해당됨.  이 지역이 언제 다시 채취를 시작할지에 대해서는 알려진 바 없음."
839,"Tristar Products Inc.와 Spectrum Brands Canada, Inc.가 회수한 착즙기의 회수 사유는 무엇인가?","사용 중 파열되어 소비자에 충격을 줄 수 있고 열상의 위험이 있으며, 주스에 작은 입자를 남길 수 있어 소비자가 섭취할 위험이 있기 때문입니다.","[회수]캐나다 Tristar Products Inc. & Spectrum Brands Canada, Inc., 열상 및 섭취 위험으로 중국산 착즙기 회수 - 최초 발표 일자: 2023-06-01 (최신 업데이트 일자: 2023-06-01)- 유통지역: 미국 및 캐나다(2020년 9월부터 2022년 8월까지 판매됨)- 회수사: ▲Tristar Products Inc. 및 ▲Spectrum Brands Canada, Inc.- 제품명1) SHL90-SC. UPC: 7-52356-83138-72) SHL96. UPC: 7-52356-83067-0- 원산지: 중국- 회수사유: 사용 중 파열되어 소비자에 충격을 줄 수 있고 열상의 위험이 있으며, 주스에 작은 입자를 남길 수 있어 소비자가 섭취할 위험이 있음.- 제품사진: 원문참조- 기타: 2023년 5월 29일 현재 업체는 캐나다에서 1건의 사고를 보고받았으며 부상사례는 보고받은 바 없음. 업체는 미국에서 47건의 부상을 포함한 260건의 사고를 보고받았음."
840,호주 연방의료제품청이 '의료용 제품(허용 원료) 결정'을 업데이트하는 이유는 무엇인가요?,"유료 신청에 따른 새로운 원료 또는 요건을 통합하기 위해 '결정'이 변경될 수 있으며, 추가 조사가 필요한 정보를 받으면 기존 원료의 안전성 검토를 수행하기 때문입니다.","호주 연방의료제품청, 보완의약품 및 OTC 약품 광고 승인 관련 신청서 양식 발부 호주 연방의료제품청은 2019년 11월 19일부터 모든 새로운 광고 승인 신청서는 업데이트된 양식을 사용하여 호주 CHP(Consumer Healthcare Products Australia, 호주 소비자 건강 관리 제품 관리원)에 제출되어야 한고 공지함. 해당 양식은 치료용 상품 규정 제2부의 중분류 2가 적용되는 ""특정 매체""에 대한 광고 승인을 신청하는 과정에 도움이 되도록 준비된 것임.  치료용 상품 광고 법규(Therapeutic Goods Advertising Code)의 3부는 법규를 위하여 치료용 상품에 대한 승인 신청서가 적합한 광고 서비스 관리자에 의해 승인되어야 한다고 규정함. 해당 양식은 pdf(*) 또는 Microsoft Word 양식으로 사용 가능하며 원문에 첨부되어 있음. *https://www.tga.gov.au/sites/default/files/application-advertising-approval.pdf"
841,Regal Foods에서 회수한 제품 중 Italian Seasoning의 코드가 무엇인가요?,10201310,"[회수]미국 Regal Foods, 설치류 배설물 오염 가능성으로 향신료 회수 -일자: 2023.9.27.-브랜드: Regal Spices -제품명: > Italian Seasoning 3.25 pound(비닐봉지); 코드: 10201310> Oregano leaves  20 pound, four ounce, 1.5 pound; 코드: ORE22183, 8370, 8400 OM/23-550 > Taco Seasoning 10 ounce; 코드: REGAL TACO SEASONING 10oz ORE22183 REGAL TACO SEASONING 25# 8400 REGAL TACO SEASONING 5# ORE22183 REGAL TACO SEASONING 5# 8400> Herbs  Garlic in 25, 5, 2 pound; 코드: 8400> Fajita Seasoning  8 pound; 코드: ORE22183> Herbs de Provence  2 pound 코드: 8400> Pasta Herb sold in 4 ounce; 코드: ORE22183  > Blackening Seasoning 5 pound; 코드: ORE22183-회수사: Regal Foods (Leola, Pennsylvania)-회수사유: 설치류 배설물 오염 가능성-제품사진: -"
842,2023년 1월에 미국 FDA에서 수입 부적합 판정을 받은 한국산 식품은 무엇인가요?,"해조류 스낵(가향 또는 무가향), 구운 채소 스낵(두류 제외)입니다.","미국 FDA, 2023년 1월 수입부적합(52) -제조사식별번호: 3013106574-제조사명: Jayeonwon Co., Ltd.  -주소지 1: 257 Gwangnaman-Ro  -도시명: Gwangju  -지역명: Gyeonggi  -국가: 대한민국-제품코드: 16MGT03  -제품설명: 오징어, 기타 수산물(SQUID, OTHER AQUATIC SPECIES)-부적합일자: 19-Jan-2023  -FDA 지역사무소: DNEI  -통관 식별번호/참고문서/라인번호/기타: 98K-2236276-0/201/1-검체분석: 아니오-사설실험실분석: 아니오-부적합항목: 위반코드9-살모넬라; 유독, 유해물질인 살모넬라 오염으로 건강에 해를 끼칠 가능성이 있음. 식의약화장품법 관련 조항 402(a)(1), 801(a)(3); 변질"
843,Suya Slice LLC가 회수한 제품의 이름은 무엇인가?,“Suya Slice Kilishi Beef Jerky”와 “Suya Slice Suya”이다.,"[회수]미국 Suya Slice LLC, 연방검사 미필로 즉석섭취 육포 회수 - 일자: 2023.7.14- 지역: 미국 전역- 회수사: Suya Slice LLC (Memphis, Tenn. 소재)- 제품명: 1) “Suya Slice Kilishi Beef Jerky” 1.5-oz. (재밀봉 가능 플라스틱 포장)2) marinated skewered beef “Suya Slice Suya”  5-oz. (재밀봉 가능 플라스틱 포장)- 제품사진: https://www.fsis.usda.gov/sites/default/files/food_label_pdf/2023-07/Food-Labels-Recall-030-2023.pdf - 회수사유: 연방 검사 미필- 기타: 동 제품의 섭취와 관련하여 부작용 사례는 보고된 바 없음."
844,2023년 하반기 유럽집행위원회 보건식품안전총국의 프로그램에 대한민국 관련 내용이 포함되어 있나요?,해당 문서에 없음,"유럽집행위원회 보건식품안전총국, 2023년 하반기 '보건 및 식품 감사 분석' 프로그램 발표 유럽연합(EU) 집행위원회 보건식품안전총국(DG Sante)은 2023년 7월-12월의 ‘보건 및 식품 감사와 분석’ 프로그램(*)을 발표함. 동 문서는 2023년 하반기에 대한 DG Sante의 업무 프로그램을 정리하였음.- 프로그램 내용 중 대한민국 관련 내용은 없음   (*) https://food.ec.europa.eu/system/files/2023-07/hfaa_prog_en_2023_07-12.pdf"
845,캐나다에서 회수된 에너지 음료의 회수 사유는 무엇인가요?,카페인 함량 및 표시 요건과 관련된 여러가지를 준수하지 않음,"[회수]캐나다 Kraft Heinz Canada, 안전하지 않은 수준의 카페인 섭취 가능성 있어 미국산 에너지음료 회수 - 최초 발표 일자: 2024-06-07- 유통지역: 캐나다 전국- 회수사: Kraft Heinz Canada- 제품명: (best before: 카페인 함유한 제품 모두)1) MiO Energy Energy Drink Mix, Tropical Passionfruit 48 mL; UPC: 0 683921 5 2) MiO Energy Energy Drink Mix, Black Cherry 48 mL; UPC: 0 683901 1 3) MiO Energy Energy Drink Mix, Açaí Berry 48 mL; UPC: 0 683911 8 - 원산지: 미국 (제품 사진에 'PRODUCT OF U.S.A.' 표시)- 회수사유: 안전하지 않은 수준의 카페인을 섭취할 가능성이 있음- 제품사진: 원문 참조- 기타: 캐나다 식품검사청의 검사 결과에 따라 동 회수를 시작하였으며, 해당 제품 섭취와 관련이 있을 수 있는 반응이 한 건 보고되었음."
846,2022년 3분기 잔류농약 모니터링에서 최대잔류허용량(MRL)을 초과한 샘플은 몇 개인가요?,13개 샘플이 최대잔류허용량(MRL) 기준을 초과하였음.,"영국 환경식품농촌부, 식품 중 잔류농약 모니터링 프로그램 2022년 3분기 보고서 게재 영국 환경식품농촌부는 국내 재배 및 수입 식품의 잔류농약을 확인하기 위한 모니터링 프로그램의 2022년 3분기 결과 보고서를 게재함. 2022년 감시 프로그램에서는, 조사 대상 식품마다 최대 398개의 농약을 측정하였음. 981개 샘플 중 545가지에서 잔류물이 검출되었으며 이 중 13개 샘플이 최대잔류허용량(MRL) 기준을 초과하였음.  조사 대상 식품은 사과, 살구, 아보카도, 보리, 깍지콩, 빵(일반 및 무글루텐), (방울)양배추, 체리, 오이, 바닷물고기, 포도, 과일/채소 영유아식, 양상추, 우유, 귀리, 파스타, 복숭아/넥타린, 돼지고기, 감자, 시금치, 딸기, 토마토, 와인임. (*)원문: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145148/prif-monitoring-report-quarter-3-2022.pdf"
847,호주 연방정부가 시작한 항생제 내성 조사는 언제까지 진행될 예정인가요?,2023년 중반까지 진행될 것임.,"호주 연방정부, 호주 식품 공급의 항생제 내성에 대한 전국적인 조사 시작 호주 연방정부(Federal Government)는 항생제 내성(antimicrobial resistance) 위협으로부터 국민을 보호하기 위하여 호주 식품 내 항생제 내성에 대해 전국적인 조사를 시작했음.호주뉴질랜드 식품기준청(FSANZ)은 주 및 준주 규제 기관과 함께 항생제 내성의 발달 및 확산을 최소화하기 위한 국가 전략의 일환으로 소매용 소고기, 돼지고기 및 가금류 제품 샘플링을 시작했음.이는 2007년 이후 소매용 식품에서 항생제 내성균에 대한 국가 차원의 감시는 처음임. 선별된 소매용 식품의 항생제 내성균 규모를 판단하는 동시에 항균제 의약품의 새로운 위협을 식별하는 데 도움이 될 것임.이 조사는 '호주의 국가적 항생제 내성 전략-2020 및 그 이후(*)'를 지원하는 2023년 중반까지 진행될 것임.* Australia’s National Antimicrobial Resistance Strategy – 2020https://www.amr.gov.au/resources/australias-national-antimicrobial-resistance-strategy-2020-and-beyond"
848,환경연구센터가 KOS(사)를 소송한 이유는 무엇인가?,KOS(사)가 유독한 화학 물질이 제품에 사용될 때 소비자들에게 경고하도록 요구하는 캘리포니아주 법령 65(Proposition 65)를 위반했다고 환경연구센터가 주장했기 때문이다.,"미국 소비자단체, KOS(사) 단백질 파우더 등 5개 제품에서 PFAS 검출 미국 샌디에고 소재 소비자단체인 환경연구센터(ERC)는 KOS(사)의 Nature-Powered Organic Plant 단백질 음료 및 파우더 5개 제품에서 과불화화합물(PFAS)인 PFOA 검출이 확인되어 캘리포니아주 법무부에 소송을 제기했다고 밝혔음.  ERC는 KOS(사)가 유독한 화학 물질이 제품에 사용될 때 소비자들에게 경고하도록 요구하는 캘리포니아주 법령 65(Proposition 65)를 위반하고 있다고 강조했음.  소장에서 언급된 제품은 2가지 포장 용량의 KOS Nature-Powered Organic Plant 단백질 초콜릿맛, 바닐라맛 제품과 초콜릿칩민트맛 1개 제품임.  현재 KOS(사)의 음료 및 파우더는 Walmart, Whole Foods, CVS, Walgreens, Target 등의 소매점에서 판매되고 있음."
849,과불화화합물(PFAS)이 어린이와 젊은 성인의 어떤 생물학적 과정을 변화시키는가?,과불화화합물(PFAS)은 어린이와 젊은 성인의 지방 및 아미노산 대사를 포함한 주요 생물학적 과정을 변화시킨다.,"[연구결과]미국 연구진, 과불화화합물은 주요 생물학적 과정을 방해해 미국 서던캘리포니아 Keck 의대(Keck School of Medicine of USC) 연구진은 환경 속 과불화화합물(PFAS)에 대한 노출이 어린이와 젊은 성인 모두의 지방 및 아미노산 대사를 포함한 주요 생물학적 과정을 변화시킨다는 연구 결과(*)를 발표했음. 이는 발달 장애, 심혈관 질환, 대사 질환, 많은 유형의 암을 포함하여 광범위한 질병 위험 증가와 관련이 있음. 개별 PFAS가 여러 질병 위험을 증가시킨다는 것은 알려져 있었지만, 여러 PFAS 조합에 대한 노출로 인해 어떤 생물학적 과정이 변화하는지를 평가한 것은 이번 연구가 처음임.  연구진은 청소년과 어린이의 혈액 샘플에서 PFAS 혼합물과 혈액 중 자연 발생하는 수천 개의 화학물질을 측정했고, 여러 PFAS에 노출되는 것이 자연 발생 화학물질에 어떤 영향을 미치는지 관찰했음. 그 결과, PFAS 노출이 신진대사의 중요 결정 요소인 갑상선 호르몬 수치 뿐만 아니라 신체가 지질과 아미노산의 신진대사 방식을 변화시킨다는 것을 확인했음. 갑상선 호르몬의 변화는 사춘기동안 아이들의 발달에 중요한 역할을 하는데, 당뇨, 심혈관 질환, 암 포함 다양한 질병에 영향을 미칠 수 있음.  동 연구는 'Environmental Health Perspectives' 저널에 게재됨 * https://doi.org/10.1289/EHP11372"
850,Rush Hour Plus 제품이 회수된 이유는 무엇인가요?,미표시된 원재료 타다라필(tadalafil) 함유로 인해 회수되었습니다.,"[회수]캐나다 7067941 Canada Inc., 미표시된 원재료 타다라필 함유로 건강제품(Rush Hour Plus) 회수 - 최초 발표 일자: 2023-08-10 (최신 업데이트 일자: 2023-08-10)- 유통지역: Quebec- 회수사: 7067941 Canada Inc. (D.N.B.)- 브랜드: Rush Hour Plus- 제품명: Rush Hour Plus- 시장 승인: 미허가(Not licensed)- 섭취(Dasage) 형태: 캡슐- 효능: N/A- 로트 : 모든 로트- 회수사유: 미표시된 원재료 타다라필(tadalafil) 함유- 제품사진: -"
851,Hershey’s의 다크 초콜릿 바에서 어떤 중금속이 검출되었나요?,Hershey’s의 다크 초콜릿 바에서 납과 카드뮴이 검출되었습니다.,"미국 컨슈머리포트, Hershey’s(사)에 다크 초콜릿 제품에서 유해한 중금속을 제거할 것을 촉구하는 청원 서명서 전달 미국 소비자단체 컨슈머리포트(CR)는 Hershey’s(사)에 다크 초콜릿 제품의 위해한 중금속 수준을 낮출 것을 촉구하는 또 다른 청원 서명서를 전달했음. 7,500명 이상의 소비자가 Hershey’s(사)에 조치하도록 촉구하는 CR의 청원서에 서명했음. Hershey’s 이름이 붙어있거나 Hershey’s(사)가 소유한 회사에 판매되는 다크 초콜릿 바는 CR이 실시한 최근 검사에서 가장 높은 수준의 납 또는 카드뮴을 함유한 것 중 하나였음. 3월 Hershey’s(사)의 최고재무관리자는 언론사 로이터(Reuters)에 자사의 다크 초콜릿의 중금속 수준을 낮추기 위해 계속 기회를 찾고 있다고 말했지만, 확고한 약속은 발표되지 않았음. CR 연구진은 28개의 다크 초콜릿 바에서 중금속 함량을 측정했으며 전부 카드뮴과 납이 검출되었음. 그중 23개는 성인이 하루에 1온스만 섭취해도 중금속 중 적어도 한 가지가 공중 보건 당국과 CR 전문가가 말하는 해로울 수 있는 수준을 넘음. CR은 Hershey’s(사)가 소유한 Lily’s Extremely Dark Chocolate 85% cocoa은 납과 카드뮴 둘 다 높은 수준을 가진 5개 바 중 하나임을 확인함. Hershey’s Special Dark Mildly Sweet Chocolate은 CR이 검사한 바 중 가장 높은 수준의 납을 함유하였음. Hershey’s(사)가 소유한 Scharffen Berger Extra Dark Chocolate 82% Cacao bar는 CR 검사에서 카드뮴 수치가 가장 높은 바 중 하나임. CR 검사의 대부분의 초콜릿 바가 우려되는 수준의 납 또는 카드뮴을 함유한 반면, 그 중 5개는 상대적으로 낮았음: ▲Mast Organic Dark Chocolate 80% Cocoa, ▲Ghiradelli Intense Dark Chocolate Twilight Delight 72% Cacao, ▲Ghiradelli Intense Dark Chocolate 86% Cacao, ▲Taza Chocolate Organic Deliciously Dark Chocolate 70% Cacao, ▲Valrhona Abinao Dark Chocolate 85% Cacao. 소량이더라도 지속적으로 장기간 중금속에 노출되면 다양한 건강 문제가 발생할 수 있음."
852,Dole Fresh Vegetables Inc가 회수한 샐러드 제품의 회수 사유는 무엇인가요?,채소의 특정 유기 오염물이 과도한 거품을 생성할 때 세척 시스템에 잘못된 화학물질이 추가되었기 때문입니다.,"[회수]캐나다 Dole Fresh Vegetables Inc., 리스테리아 오염 가능성으로 샐러드 회수 - 회수일시: 2014.3.12- 유통지역: 온타리오, 퀘벡, 뉴브런즈윅 (타 지역 유통 가능성)- 제품명: Dole 브랜드 Italian Blend Salad (이탈리안 블렌드 샐러드, 10 oz. (283 g), 유통기한 14-MR-12, UPC 0 71430 00819 5) - 회수사: Dole Fresh Vegetables Inc.- 회수사유: 리스테리아 오염 가능성- 기타: 관련 질병피해 보고 없음. 캐나다 식품검사청(CFIA)의 검사 결과를 토대로 회수가 시작됨. - 라벨사진: http://www.inspection.gc.ca/about-the-cfia/newsroom/food-recall-warnings/complete-listing/2014-03-12/eng/1394692964357/1394692975163?print=1#recall-photos"
853,"Conagra Brands, Inc.에서 회수하는 소시지 제품의 포장 결함 가능성으로 인한 부작용 사례가 보고된 적이 있나요?",동 제품과 관련하여 현재까지 보고된 부작용 사례 없음.,"[회수]미국 Conagra Brands, Inc., 플라스틱 이물 혼입 가능성으로 냉동비프파이 회수 - 일자: 2023.06.16.- 유통지역: 미국 California, Colorado, Oregon, 및 Utah 소매 유통센터로 유통되고 전역으로 추가 유통됨- 회수사: Conagra Brands, Inc.- 제품명: 4.31 lbs. cases of “MC Beef Shepherd’s Pie” (lot code 5006306020, BEST BY FEB 24 2024, case code 2113100032) (11.5 oz. carton packages of ""Marie Callender’s BEEF SHEPHERD’S PIE” 6개입; lot code 5006306020, BEST BY FEB 24 2024, 시간 직인 범위 17:45-17:56)- 생산일자: 2023년 1월 26일- 시설번호: EST. 233- 회수사유: 이물(특히 투명하고 유연한 플라스틱) 오염 가능- 제품사진: https://www.fsis.usda.gov/sites/default/files/food_label_pdf/2023-06/recall-024-2023-labels.pdf- 기타: 현재까지 동 제품의 섭취 관련 부작용 사례 보고 없음."
854,Germany Niubian tablets가 경고를 받은 이유는 무엇인가요?,의약품성분 실데나필(sildenafil) 함유로 경고를 받았습니다.,"호주 연방의료제품청, 의약품성분 실데나필 함유로 'Germany Niubian' 경고 - 경고일시: 2023.6.8- 제품명: Germany Niubian tablets- 사유: 의약품성분 실데나필(sildenafil) 함유 - 기타: 해당 성분을 함유한 제품을 공급하는 행위는 불법임. 당국은 호주 법률에서 요구하는 품질, 안전성, 효능성을 평가한 적이 없으며, 제조사 또한 청의 승인을 받지 않았음. - 제품 사진: 원문 참조"
855,Rhino 15000 제품이 회수된 이유는 무엇인가요?,미표시된 원재료 실데라필(sildenafil) 함유,"[회수]캐나다 7067941 Canada Inc., 미표시된 원재료 실데나필 함유로 건강제품(Rhino 15000) 회수 - 최초 발표 일자: 2023-08-10 (최신 업데이트 일자: 2023-08-10)- 유통지역: Quebec- 회수사: 7067941 Canada Inc. (D.N.B.)- 브랜드: Rhino 15000- 제품명: Rhino 15000- 시장 승인: 미허가(Not licensed)- 섭취(Dasage) 형태: 캡슐- 효능: N/A- 로트 : 모든 로트- 회수사유: 미표시된 원재료 실데라필(sildenafil) 함유- 제품사진: -"
856,유엔식량농업기구가 유전자편집과 관련하여 식품안전 문제를 검토한 이유는 무엇인가?,"유엔식량농업기구는 유전자편집 기술이 식량 생산과 품질을 높이는 데 사용될 수 있지만, 모든 신기술과 마찬가지로 규제 기관의 철저한 분석이 필요하다고 판단하여 식품안전 문제를 검토하였다.","유엔식량농업기구, 올해 세계 식품안전의 날 주제는 '보다 안전한 식품, 더 나은 건강' 유엔식량농업기구(FAO)가 '보다 안전한 식품, 더 나은 건강Safer food, better health'을 주제로 하는 올해 세계 식품안전의 날(World Food Safety Day)의 안내서(*)를 게재함. 2022년 캠페인은 보다 안전한 식품이 우리 신체건강뿐만 아니라 동물과 환경의 건강과 웰빙을 증진시킬 수 있는 방법에 초점을 맞출 예정임. 건강하고 영양가 있는 식품을 재배 및 거래하고 소비할 수 있도록 우리 식품체계 전반이 개선되어야 할 방향 또한 관심 주제가 될 것임.  지난해 9월 유엔 푸드시스템 정상회의에서 전문가, 학계, 시민사회단체 등이 지속가능개발목표(SDG) 달성과 기후변화 관련 이슈 해결을 위해 지구촌이 우리 식량체계를 어떻게 변화시켜야 하는지에 대해 논의했음. 식품 안전은 건강하고 지속가능한 식품시스템에 필수적이며, SDG 달성에 있어서도 핵심사항임. (*) https://www.fao.org/3/cb8661en/cb8661en.pdf"
857,존 커비는 후쿠시마 원전 처리수 방출에 대해 어떤 입장을 밝혔나요?,존 커비는 일본이 처리수 방출과 관련하여 국제원자력기구(IAEA)가 제시한 기준을 비롯한 국제 기준에 부합하기 위해 필요한 모든 조치를 취했다고 밝혔습니다.,"미국 국무부, 처리수 방출 이후 중국의 일본산 수산물 금지에 대한 질문에 ""그럴만한 이유없어"" 미국 국무부 국가안보회의(NSC) 전략소통조정관 존 커비(John Kirby)는 2023년 9월 6일 열린 외신센터 브리핑에서 후쿠시마 원전 처리수(treated water) 방출 이후 중국이 일본산 수산물을 금지한 것에 대한 견해를 묻는 아사히신문 기자의 질문에 대해 ""대통령이 밝힌 바와 같이, 일본은 처리수 방출과 관련하여 국제원자력기구(IAEA)가 제시한 기준을 비롯한 국제 기준에 부합하기 위해 필요한 모든 조치를 취했다는 점에서 어떤 국가도 징벌적 경제조치를 취할만한 이유가 없다""고 대답했음."
858,유럽집행위원회는 NGT 식물에 대해 어떤 규제 체제를 제안했나요?,유럽집행위원회는 NGT 식물에 대해 일반 식물과 동등한 수준의 적절한 규제 체제를 제안했습니다.,"유럽집행위원회, 유전체신기술(NGT) 규제완화 6월 7일 제안할 것 유럽 언론 EURACTIV에 따르면, 유럽연합(EU) 집행위원회는 2023년 6월 7일 유전체신기술(NGT, new genomic techniques)에 관한 업데이트된 규칙을 제안할 예정임. 동 제안은 NGT, 즉 가뭄 내성과 같은 식물의 특정 형질을 유전적으로 수정할 목적으로 유전체을 변경하는 데 사용되는 과학적 방법의 규제 완화를 지지할 것으로 예측됨. 유전체 편집 규제완화 여부는 논쟁의 여지가 많으며, EU 집행위원회의 동 제안은 유럽 의회와 EU 회원국 농업장관들(EU 이사회)을 통과해야 함."
859,국제원자력기구는 후쿠시마 제1원전 인근에서 어떤 종류의 샘플을 채취했나요?,"어류, 해수, 해초, 퇴적물 샘플을 채취했습니다.","국제원자력기구, 이번 주 후쿠시마 원전 제1원전 인근의 해양 샘플 채취 위해 방일..채취 과정 동영상 게재  *관련 기수집 정보 : 일본 언론, 국제원자력기구 후쿠시마현에서 수산물 시료 채취...처리수 방출 후 첫 조사(수집일자 : 2023-10-20)국제원자력기구(IAEA)의 과학자들과 국제연구소의 여러 전문가들은 후쿠시마 제1원자력발전소 인근의 해양 샘플 채취를 위해 이번 주에 일본을 방문함. IAEA는 전문가들이 어류, 해수, 해초, 퇴적물 샘플 채취 과정에 관한 짧은 동영상을 게재함."
860,영국 정부는 유전자 편집을 통해 어떤 기대를 하고 있나요?,"영국 정부는 유전자 편집을 통해 농부들이 가뭄에 강하고 질병에 강한 농작물을 기를 수 있도록 하고, 비료와 살충제의 사용을 줄일 수 있을 것이라고 기대하고 있습니다.","영국 정부, 유전자 편집 조속한 승인 기대 중 2022-11-01 기수집 정보: 영국,  '유전기술 법안' 상원에 회부... 기후변화에 견디며 농약에 덜 의존하는 농작물 개발 기대  영국 환경식품농촌부 장관 테레스 코피(Thérèse Coffey)는 정부는 가능한 한 빨리 유전자 편집의 기회를 활용하기를 기대한다고 밝힘.  지난 3월 '유전기술 (정밀육종) 법'이 통과되어 잉글랜드에서 '정밀육종' 또는 유전자편집 식물 및 척추동물을 만들거나 마케팅하는 것이 가능해졌음. 정부에 따르면, 이로써 농부들이 가뭄에 강하고 질병에 강한 농작물을 기를 수 있도록 하고, 비료와 살충제의 사용을 줄일 수 있을 것이라고 함. 식품 기준 당국은 현재 정밀육종 식품에 대한 '강력하고 맞춤형 평가 프로세스'를 만들기 위해 2차 법안 시행을 위해 중앙정부와 협력중임."
